index;country_code;country_long;name_of_powerplant;latitude;longitude;primary_fuel;start date;owner of plant;capacity_in_MW;estimated_generation_gwh_2021;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031
17893;NOR;Norway;Bjordal;59,5393;5,5952;Hydro;;;6;31,87;31,87;35,057;38,5627;42,41897;46,660867;51,3269537;56,45964907;62,10561398;68,31617537;75,14779291;82,6625722
17894;NOR;Norway;Bogna;64,2215;12,0369;Hydro;;;60;240,4;240,4;264,44;290,884;319,9724;351,96964;387,166604;425,8832644;468,4715908;515,3187499;566,8506249;623,5356874
17895;NOR;Norway;Borgund;61,0586;7,8191;Hydro;;;240;925,64;925,64;1018,204;1120,0244;1232,02684;1355,229524;1490,752476;1639,827724;1803,810496;1984,191546;2182,610701;2400,871771
17896;NOR;Norway;Borregaard inst;59,2765;11,1305;Hydro;;;62;276,44;276,44;304,084;334,4924;367,94164;404,735804;445,2093844;489,7303228;538,7033551;592,5736906;651,8310597;717,0141657
17897;NOR;Norway;Boylefoss;58,5962;8,7164;Hydro;;;102;506,56;506,56;557,216;612,9376;674,23136;741,654496;815,8199456;897,4019402;987,1421342;1085,856348;1194,441982;1313,886181
17898;NOR;Norway;Bratsberg;63,3729;10,4098;Hydro;;;140;594,69;594,69;654,159;719,5749;791,53239;870,685629;957,7541919;1053,529611;1158,882572;1274,770829;1402,247912;1542,472704
17899;NOR;Norway;Brattingfoss;64,0433;11,0835;Hydro;;;14;51,14;51,14;56,254;61,8794;68,06734;74,874074;82,3614814;90,59762954;99,65739249;109,6231317;120,5854449;132,6439894
17900;NOR;Norway;Brattset;62,8021;10,0122;Hydro;;;92;385,72;385,72;424,292;466,7212;513,39332;564,732652;621,2059172;683,3265089;751,6591598;826,8250758;909,5075834;1000,458342
17901;NOR;Norway;Breiava;59,1593;6,6173;Hydro;;;16;58,45;58,45;64,295;70,7245;77,79695;85,576645;94,1343095;103,5477405;113,9025145;125,2927659;137,8220425;151,6042468
17902;NOR;Norway;Brekkefoss;60,8876;8,4604;Hydro;;;2;9,1;9,1;10,01;11,011;12,1121;13,32331;14,655641;16,1212051;17,73332561;19,50665817;21,45732399;23,60305639
17903;NOR;Norway;Brokke;59,1233;7,5106;Hydro;;;443;1354,09;1354,09;1489,499;1638,4489;1802,29379;1982,523169;2180,775486;2398,853034;2638,738338;2902,612172;3192,873389;3512,160728
17904;NOR;Norway;Brulandsfoss;61,4358;5,9152;Hydro;;;15;62,35;62,35;68,585;75,4435;82,98785;91,286635;100,4152985;110,4568284;121,5025112;133,6527623;147,0180385;161,7198424
17905;NOR;Norway;Brunstad;62,2845;6,6772;Hydro;;;4;13,11;13,11;14,421;15,8631;17,44941;19,194351;21,1137861;23,22516471;25,54768118;28,1024493;30,91269423;34,00396365
