index,country_code,country_long,name_of_powerplant,latitude,longitude,primary_fuel,start date,owner of plant,capacity_in_MW,estimated_generation_gwh_2021
10237,FIN,Finland,Raasakka,65.4667,27.5167,Hydro,,PVO Vesivoima Oy,60.0,228.66
10238,FIN,Finland,Rauhalahti,62.2333,25.7333,Biomass,,JyvÃ¤skylÃ¤n Energiantuotanto Oy,80.0,301.40431457635384
10239,FIN,Finland,Rauma,61.1272,21.5113,Biomass,,Rauman Biovoima Oy,71.5,270.7258300562723
10240,FIN,Finland,Rauma,61.1272,21.5113,Biomass,,MetsÃ¤ Fibre Oy,75.0,283.3581472116
10241,FIN,Finland,Ristiina,63.1,28.1833,Biomass,,JÃ¤rvi-Suomen Voima Oy,8.5,43.3441212603735
10242,FIN,Finland,Ruskeakoski,62.4167,30.45,Hydro,,Pohjois-Karjalan SÃ¤hkÃ¶ Oy,3.3,12.65
10243,FIN,Finland,Saario,62.25,30.5,Hydro,,Pohjois-Karjalan SÃ¤hkÃ¶ Oy,1.6,7.26
10244,FIN,Finland,Sallila,62.3667,29.4333,Hydro,,Sallila Energia Oy,1.2,4.93
10245,FIN,Finland,Salmisaari B,60.1656,24.9048,Coal,,Helsingin Energia,163.0,600.9706928312681
10246,FIN,Finland,Salo,60.3833,23.1333,Biomass,,Voimavasu Oy,13.5,61.39028862512737
10247,FIN,Finland,Seitakorva,66.6667,27.4167,Hydro,,Kemijoki Oy,130.0,523.83
10248,FIN,Finland,Seitenoikea,64.6167,28.4833,Hydro,,Fortum Power & Heat   Generation,37.9,158.42
10249,FIN,Finland,Siikakoski,62.5667,26.4,Hydro,,KSS Energia Oy,1.8,8.3
10250,FIN,Finland,Simpele,61.4333,29.3667,Biomass,,MetsÃ¤ Board Oyj,34.5,137.18419155709364
10251,FIN,Finland,Soilu,62.5667,26.4,Hydro,,Koskienergia Koskivoima Oy,1.8,8.3
10252,FIN,Finland,Soininkoski,65.6167,25.3167,Hydro,,Killin Voima Oy,1.42,5.95
10253,FIN,Finland,Sopenkorpi,60.9827,25.6615,Oil,,Lahti Energia Oy,14.5,64.99952209807815
10254,FIN,Finland,Sotkamo,64.1333,28.4167,Biomass,,Vapo Oy,1.3,17.357640255127922
10255,FIN,Finland,Summa tv,60.5697,27.1979,Wind,,Haminan Energia,12.0,55.97643841570121
10256,FIN,Finland,Sunila,61.0,28.3,Biomass,,Stora Enso Oyj,35.7,141.51527172463457
